"fylkesnr","skole","linje","2022-23 alle","2022-23 gutter","2022-23 jenter","...5 alle","...6 gutter","2024-25 jenter","2024-25 alle","2024-25 gutter","2025-26 jenter","2025-26 alle","2025-26 gutter"
3,"Lønnebakken skole","Alle utdanningsprogram","5","5","16","13","3","29","22","7","47","34","13"
3,"Lønnebakken skole","Studieforberedende","5","5","16","13","3","29","22","7","47","34","13"
3,"Lønnebakken skole","Studiespesialisering","5","5","16","13","3","29","22","7","47","34","13"
