"fylkesnr","skole","linje","2025-26 alle","2025-26 gutter","2025-26 jenter"
3,"Den Tysk-Norske skolen i Oslo avd grunnskole og videregående","Alle utdanningsprogram","53","26","27"
3,"Den Tysk-Norske skolen i Oslo avd grunnskole og videregående","Studieforberedende","53","26","27"
3,"Den Tysk-Norske skolen i Oslo avd grunnskole og videregående","Studiespesialisering","53","26","27"
