"fylkesnr","skole","linje","2012-13 alle","2012-13 gutter","2012-13 jenter","2013-14 alle","2013-14 gutter","2013-14 jenter"
3,"Berg videregående skole (Nedlagt)","Alle utdanningsprogram","463","258","205","420","258","162"
3,"Berg videregående skole (Nedlagt)","Studieforberedende","463","258","205","420","258","162"
3,"Berg videregående skole (Nedlagt)","Studiespesialisering","463","258","205","420","258","162"
