"fylkesnr","skole","linje","2012-13 alle","2012-13 gutter","2012-13 jenter","2013-14 alle","2013-14 gutter","2013-14 jenter","2014-15 alle","2014-15 gutter","2014-15 jenter","2015-16 alle","2015-16 gutter","2015-16 jenter","2016-17 alle","2016-17 gutter","2016-17 jenter"
46,"Voss vidaregåande skule (Nedlagt)","Alle utdanningsprogram","269","168","101","232","148","84","228","150","78","236","166","70","97","43","54"
46,"Voss vidaregåande skule (Nedlagt)","Studieforberedende","73","29","44","57","14","43","53","17","36","49","18","31","61","26","35"
46,"Voss vidaregåande skule (Nedlagt)","Påbygging til generell studiekompetanse","73","29","44","57","14","43","53","17","36","49","18","31","61","26","35"
46,"Voss vidaregåande skule (Nedlagt)","Yrkesfaglig","196","139","57","175","134","41","175","133","42","187","148","39","36","17","19"
46,"Voss vidaregåande skule (Nedlagt)","Bygg- og anleggsteknikk","40","37","3","38","35","3","39","34","5","45","44","1",NA,NA,NA
46,"Voss vidaregåande skule (Nedlagt)","Design og håndverk","31",NA,"31","28","2","26","24",NA,"24","23","2","21","21","2","19"
46,"Voss vidaregåande skule (Nedlagt)","Elektro og datateknologi","35","35",NA,"38","37","1","39","35","4","37","33","4",NA,NA,NA
46,"Voss vidaregåande skule (Nedlagt)","Service og samferdsel","33","17","16","19","15","4","29","23","6","23","17","6","15","15",NA
46,"Voss vidaregåande skule (Nedlagt)","Teknologi- og industrifag","57","50","7","52","45","7","44","41","3","59","52","7",NA,NA,NA
