"fylkesnr","skole","linje","2020-21 alle","2020-21 gutter","2020-21 jenter","2021-22 alle","2021-22 gutter","2021-22 jenter","2022-23 alle","2022-23 gutter","2022-23 jenter","2023-24 alle","2023-24 gutter","2023-24 jenter","2024-25 alle","2024-25 gutter","2024-25 jenter","2025-26 alle","2025-26 gutter","2025-26 jenter"
32,"Feiring videregående skole","Alle utdanningsprogram","67","21","46","116","48","68","138","52","86","143","50","93","138","54","84","140","54","86"
32,"Feiring videregående skole","Studieforberedende","39","13","26","62","27","35","78","31","47","87","39","48","85","39","46","83","36","47"
32,"Feiring videregående skole","Påbygging til generell studiekompetanse","18","6","12","19","8","11","19","6","13","23","10","13","22","8","14","21","6","15"
32,"Feiring videregående skole","Studiespesialisering","21","7","14","43","19","24","59","25","34","64","29","35","63","31","32","62","30","32"
32,"Feiring videregående skole","Yrkesfaglig","28","8","20","54","21","33","60","21","39","56","11","45","53","15","38","57","18","39"
32,"Feiring videregående skole","Helse- og oppvekstfag","28","8","20","54","21","33","60","21","39","56","11","45","53","15","38","57","18","39"
