"fylkesnr","skole","linje","2012-13 alle","2012-13 gutter","2012-13 jenter","2013-14 alle","2013-14 gutter","2013-14 jenter"
46,"Bjørgvin videregående skole (Nedlagt)","Alle utdanningsprogram","593","266","327","541","225","316"
46,"Bjørgvin videregående skole (Nedlagt)","Studieforberedende","401","187","214","351","154","197"
46,"Bjørgvin videregående skole (Nedlagt)","Påbygging til generell studiekompetanse","45","12","33","53","13","40"
46,"Bjørgvin videregående skole (Nedlagt)","Studiespesialisering","356","175","181","298","141","157"
46,"Bjørgvin videregående skole (Nedlagt)","Yrkesfaglig","192","79","113","190","71","119"
46,"Bjørgvin videregående skole (Nedlagt)","Helse- og oppvekstfag","78","1","77","66","2","64"
46,"Bjørgvin videregående skole (Nedlagt)","Service og samferdsel","114","78","36","124","69","55"
