"fylkesnr","skole","linje","2012-13 alle","2012-13 gutter","2012-13 jenter","2013-14 alle","2013-14 gutter","2013-14 jenter","2014-15 alle","2014-15 gutter","2014-15 jenter","2015-16 alle","2015-16 gutter","2015-16 jenter","2016-17 alle","2016-17 gutter","2016-17 jenter","2017-18 alle","2017-18 gutter","2017-18 jenter"
11,"Uldals videregående skole AS (Nedlagt)","Alle utdanningsprogram","31","10","21","22","10","12","28","16","12","27","19","8","28","21","7","13","7","6"
11,"Uldals videregående skole AS (Nedlagt)","Studieforberedende","31","10","21","22","10","12","28","16","12","27","19","8","28","21","7","13","7","6"
11,"Uldals videregående skole AS (Nedlagt)","Påbygging til generell studiekompetanse","30","10","20","21","9","12","28","16","12","27","19","8","28","21","7","13","7","6"
11,"Uldals videregående skole AS (Nedlagt)","Studiespesialisering","1",NA,"1","1","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
