"fylkesnr","skole","linje","2012-13 alle","2012-13 gutter","2012-13 jenter","2013-14 alle","2013-14 gutter","2013-14 jenter","2014-15 alle","2014-15 gutter","2014-15 jenter","2015-16 alle","2015-16 gutter","2015-16 jenter","2016-17 alle","2016-17 gutter","2016-17 jenter","2017-18 alle","2017-18 gutter","2017-18 jenter","2018-19 alle","2018-19 gutter","2018-19 jenter","2019-20 alle","2019-20 gutter","2019-20 jenter","2020-21 alle","2020-21 gutter","2020-21 jenter","2021-22 alle","2021-22 gutter","2021-22 jenter","2022-23 alle","2022-23 gutter","2022-23 jenter","2023-24 alle","2023-24 gutter","2023-24 jenter"
50,"Steinerskolen i Trondheim Videregående skole","Alle utdanningsprogram","72","31","41","63","21","42","51","15","36","42","14","28","57","18","39","60","17","43","52","17","35","22","5","17","27","9","18","29","12","17","28","12","16","16","9","7"
50,"Steinerskolen i Trondheim Videregående skole","Studieforberedende","72","31","41","63","21","42","51","15","36","42","14","28","57","18","39","60","17","43","52","17","35","22","5","17","27","9","18","29","12","17","28","12","16","16","9","7"
50,"Steinerskolen i Trondheim Videregående skole","Kunst, design og arkitektur",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"15","3","12","21","4","17","10","2","8","2",NA,"2",NA,NA,NA,NA,NA,NA,NA,NA,NA
50,"Steinerskolen i Trondheim Videregående skole","Studiespesialisering","42","26","16","30","17","13","25","12","13","20","10","10","36","17","19","35","13","22","31","13","18","12","3","9","25","9","16","29","12","17","28","12","16","16","9","7"
50,"Steinerskolen i Trondheim Videregående skole","Studiespesialisering med formgivning","30","5","25","33","4","29","26","3","23","22","4","18","21","1","20","10","1","9",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
