"fylkesnr","skole","linje","2012-13 alle","2012-13 gutter","2012-13 jenter","2013-14 alle","2013-14 gutter","2013-14 jenter"
46,"Tanks skole (Nedlagt)","Alle utdanningsprogram","324","140","184","320","144","176"
46,"Tanks skole (Nedlagt)","Studieforberedende","324","140","184","320","144","176"
46,"Tanks skole (Nedlagt)","Påbygging til generell studiekompetanse","27","5","22","23","11","12"
46,"Tanks skole (Nedlagt)","Studiespesialisering","297","135","162","297","133","164"
