"fylkesnr","skole","linje","2022-23 alle","2022-23 gutter","2022-23 jenter","2023-24 alle","2023-24 gutter","2023-24 jenter","2024-25 alle","2024-25 gutter","2024-25 jenter","2025-26 alle","2025-26 gutter","2025-26 jenter"
32,"Seiersborg videregående skole Follo","Alle utdanningsprogram","27","12","15","55","23","32","84","42","42","95","38","57"
32,"Seiersborg videregående skole Follo","Studieforberedende",NA,NA,NA,NA,NA,NA,"12","5","7","13","5","8"
32,"Seiersborg videregående skole Follo","Påbygging til generell studiekompetanse",NA,NA,NA,NA,NA,NA,"12","5","7","13","5","8"
32,"Seiersborg videregående skole Follo","Yrkesfaglig","27","12","15","55","23","32","72","37","35","82","33","49"
32,"Seiersborg videregående skole Follo","Helse- og oppvekstfag","10","2","8","19","1","18","25","8","17","32","7","25"
32,"Seiersborg videregående skole Follo","Informasjonsteknologi og medieproduksjon","8","6","2","17","12","5","23","15","8","25","13","12"
32,"Seiersborg videregående skole Follo","Salg, service og reiseliv","9","4","5","19","10","9","24","14","10","25","13","12"
