"fylkesnr","skole","linje","2012-13 alle","2012-13 gutter","2012-13 jenter","2013-14 alle","2013-14 gutter","2013-14 jenter","2014-15 alle","2014-15 gutter","2014-15 jenter"
18,"Sortland videregående skole Avd Øksnes","Alle utdanningsprogram","57","23","34","55","21","34","49","14","35"
18,"Sortland videregående skole Avd Øksnes","Studieforberedende","20","6","14","19","8","11","7","1","6"
18,"Sortland videregående skole Avd Øksnes","Idrettsfag","1",NA,"1",NA,NA,NA,NA,NA,NA
18,"Sortland videregående skole Avd Øksnes","Studiespesialisering","19","6","13","19","8","11","7","1","6"
18,"Sortland videregående skole Avd Øksnes","Yrkesfaglig","37","17","20","36","13","23","42","13","29"
18,"Sortland videregående skole Avd Øksnes","Helse- og oppvekstfag","13","1","12","15","4","11","15","2","13"
18,"Sortland videregående skole Avd Øksnes","Naturbruk",NA,NA,NA,"1",NA,"1",NA,NA,NA
18,"Sortland videregående skole Avd Øksnes","Restaurant- og matfag","24","16","8","20","9","11","27","11","16"
