"fylkesnr","skole","linje","2012-13 alle","2012-13 gutter","2012-13 jenter"
42,"Blakstad videregående skole (Nedlagt)","Alle utdanningsprogram","222","217","5"
42,"Blakstad videregående skole (Nedlagt)","Yrkesfaglig","222","217","5"
42,"Blakstad videregående skole (Nedlagt)","Bygg- og anleggsteknikk","174","174",NA
42,"Blakstad videregående skole (Nedlagt)","Service og samferdsel","21","17","4"
42,"Blakstad videregående skole (Nedlagt)","Teknologi- og industrifag","27","26","1"
