"fylkesnr","skole","linje","2012-13 alle","2012-13 gutter","2012-13 jenter","2013-14 alle","2013-14 gutter","2013-14 jenter","2014-15 alle","2014-15 gutter","2014-15 jenter","2015-16 alle","2015-16 gutter","2015-16 jenter","2016-17 alle","2016-17 gutter","2016-17 jenter"
46,"Norheimsund Vidaregående skule (Nedlagt)","Alle utdanningsprogram","127","101","26","154","105","49","119","85","34","110","83","27","99","66","33"
46,"Norheimsund Vidaregående skule (Nedlagt)","Yrkesfaglig","127","101","26","154","105","49","119","85","34","110","83","27","99","66","33"
46,"Norheimsund Vidaregående skule (Nedlagt)","Bygg- og anleggsteknikk","22","22",NA,"23","23",NA,"9","9",NA,"13","13",NA,"7","7",NA
46,"Norheimsund Vidaregående skule (Nedlagt)","Elektro og datateknologi","30","27","3","29","29",NA,"27","27",NA,"31","29","2","30","27","3"
46,"Norheimsund Vidaregående skule (Nedlagt)","Helse- og oppvekstfag","20","2","18","46","4","42","29","2","27","22","2","20","33","4","29"
46,"Norheimsund Vidaregående skule (Nedlagt)","Teknologi- og industrifag","55","50","5","56","49","7","54","47","7","44","39","5","29","28","1"
