"fylkesnr","skole","linje","2023-24 alle","2023-24 gutter","2023-24 jenter","2024-25 alle","2024-25 gutter","2024-25 jenter","2025-26 alle","2025-26 gutter","2025-26 jenter"
32,"Akademiet Vgs Sandvika","Alle utdanningsprogram","13","5","8","51","25","26","84","35","49"
32,"Akademiet Vgs Sandvika","Studieforberedende","13","5","8","51","25","26","84","35","49"
32,"Akademiet Vgs Sandvika","Studiespesialisering","13","5","8","51","25","26","84","35","49"
