"fylkesnr","skole","linje","2012-13 alle","2012-13 gutter","2012-13 jenter","2013-14 alle","2013-14 gutter","2013-14 jenter","2014-15 alle","2014-15 gutter","2014-15 jenter","2015-16 alle","2015-16 gutter","2015-16 jenter","2016-17 alle","2016-17 gutter","2016-17 jenter","2017-18 alle","2017-18 gutter","2017-18 jenter","2018-19 alle","2018-19 gutter","2018-19 jenter","2019-20 alle","2019-20 gutter","2019-20 jenter"
34,"Lena-Valle videregående skole Avd Valle","Alle utdanningsprogram","142","71","71","142","61","81","152","64","88","161","78","83","170","87","83","184","86","98","186","76","110","174","75","99"
34,"Lena-Valle videregående skole Avd Valle","Studieforberedende","19","8","11","30","8","22","20","4","16","23","4","19","20","3","17","22","4","18","19","5","14","20","5","15"
34,"Lena-Valle videregående skole Avd Valle","Studieforberedende Vg3 Naturbruk","19","8","11","30","8","22","20","4","16","23","4","19","20","3","17","22","4","18","19","5","14","20","5","15"
34,"Lena-Valle videregående skole Avd Valle","Yrkesfaglig","123","63","60","112","53","59","132","60","72","138","74","64","150","84","66","162","82","80","167","71","96","154","70","84"
34,"Lena-Valle videregående skole Avd Valle","Naturbruk","123","63","60","112","53","59","132","60","72","138","74","64","150","84","66","162","82","80","167","71","96","154","70","84"
