"fylkesnr","skole","linje","2012-13 alle","2012-13 gutter","2012-13 jenter","2013-14 alle","2013-14 gutter","2013-14 jenter"
3,"Fagerborg videregående skole (Nedlagt)","Alle utdanningsprogram","586","307","279","540","269","271"
3,"Fagerborg videregående skole (Nedlagt)","Studieforberedende","586","307","279","540","269","271"
3,"Fagerborg videregående skole (Nedlagt)","Musikk, dans og drama","78","9","69","69","7","62"
3,"Fagerborg videregående skole (Nedlagt)","Studiespesialisering","508","298","210","471","262","209"
