"fylkesnr","skole","linje","2012-13 alle","2012-13 gutter","2012-13 jenter","2013-14 alle","2013-14 gutter","2013-14 jenter","2014-15 alle","2014-15 gutter","2014-15 jenter","2015-16 alle","2015-16 gutter","2015-16 jenter","2016-17 alle","2016-17 gutter","2016-17 jenter","2017-18 alle","2017-18 gutter","2017-18 jenter","2018-19 alle","2018-19 gutter","2018-19 jenter","2019-20 alle","2019-20 gutter","2019-20 jenter","2020-21 alle","2020-21 gutter","2020-21 jenter","2021-22 alle","2021-22 gutter","2021-22 jenter"
46,"Rubbestadnes vidaregåande skule","Alle utdanningsprogram","166","146","20","183","161","22","165","147","18","152","139","13","145","136","9","139","128","11","144","129","15","152","131","21","164","137","27","156","133","23"
46,"Rubbestadnes vidaregåande skule","Yrkesfaglig","166","146","20","183","161","22","165","147","18","152","139","13","145","136","9","139","128","11","144","129","15","152","131","21","164","137","27","156","133","23"
46,"Rubbestadnes vidaregåande skule","Elektro og datateknologi","76","68","8","77","64","13","75","63","12","78","70","8","77","72","5","77","72","5","76","69","7","73","59","14","77","61","16","69","59","10"
46,"Rubbestadnes vidaregåande skule","Teknologi- og industrifag","90","78","12","106","97","9","90","84","6","74","69","5","68","64","4","62","56","6","68","60","8","79","72","7","87","76","11","87","74","13"
