"fylkesnr","skole","linje","2018-19 alle","2018-19 gutter","2018-19 jenter","2019-20 alle","2019-20 gutter","2019-20 jenter","2020-21 alle","2020-21 gutter","2020-21 jenter","2021-22 alle","2021-22 gutter","2021-22 jenter","2022-23 alle","2022-23 gutter","2022-23 jenter","2023-24 alle","2023-24 gutter","2023-24 jenter","2024-25 alle","2024-25 gutter","2024-25 jenter","2025-26 alle","2025-26 gutter","2025-26 jenter"
18,"Norges Toppidrettsgymnas Bodø","Alle utdanningsprogram","32","17","15","60","33","27","96","50","46","92","44","48","92","48","44","87","45","42","93","48","45","93","43","50"
18,"Norges Toppidrettsgymnas Bodø","Studieforberedende","32","17","15","60","33","27","96","50","46","92","44","48","92","48","44","87","45","42","93","48","45","93","43","50"
18,"Norges Toppidrettsgymnas Bodø","Studiespesialisering","32","17","15","60","33","27","96","50","46","92","44","48","92","48","44","87","45","42","93","48","45","93","43","50"
