"fylkesnr","skole","linje","2020-21 alle","2020-21 gutter","2020-21 jenter","2021-22 alle","2021-22 gutter","2021-22 jenter","2022-23 alle","2022-23 gutter","2022-23 jenter","2023-24 alle","2023-24 gutter","2023-24 jenter","2024-25 alle","2024-25 gutter","2024-25 jenter","2025-26 alle","2025-26 gutter","2025-26 jenter"
32,"Wang Romerike","Alle utdanningsprogram","124","74","50","251","144","107","380","222","158","380","223","157","380","196","184","380","200","180"
32,"Wang Romerike","Studieforberedende","124","74","50","251","144","107","380","222","158","380","223","157","380","196","184","380","200","180"
32,"Wang Romerike","Studiespesialisering","124","74","50","251","144","107","380","222","158","380","223","157","380","196","184","380","200","180"
