"fylkesnr","skole","linje","2014-15 alle","2014-15 gutter","2014-15 jenter","2015-16 alle","2015-16 gutter","2015-16 jenter","2016-17 alle","2016-17 gutter","2016-17 jenter","2017-18 alle","2017-18 gutter","2017-18 jenter","2018-19 alle","2018-19 gutter","2018-19 jenter","2019-20 alle","2019-20 gutter"
15,"Garno","Alle utdanningsprogram","22","10","12","16","9","7","21","14","7","19","15","4","11","10","1","3","3"
15,"Garno","Studieforberedende","22","10","12","16","9","7","21","14","7","19","15","4","11","10","1","3","3"
15,"Garno","Studiespesialisering","22","10","12","16","9","7","21","14","7","19","15","4","11","10","1","3","3"
