"fylkesnr","skole","linje","2018-19 alle","2018-19 gutter","2018-19 jenter","2019-20 alle","2019-20 gutter","2019-20 jenter","2020-21 alle","2020-21 gutter","2020-21 jenter","2021-22 alle","2021-22 gutter","2021-22 jenter","2022-23 alle","2022-23 gutter","2022-23 jenter","2023-24 alle","2023-24 gutter","2023-24 jenter","2024-25 alle","2024-25 gutter","2024-25 jenter","2025-26 alle","2025-26 gutter","2025-26 jenter"
32,"Norges Realfagsgymnas Sandvika","Alle utdanningsprogram","24","18","6","30","25","5","54","35","19","64","42","22","92","57","35","102","62","40","124","77","47","130","81","49"
32,"Norges Realfagsgymnas Sandvika","Studieforberedende","24","18","6","30","25","5","54","35","19","64","42","22","92","57","35","102","62","40","124","77","47","130","81","49"
32,"Norges Realfagsgymnas Sandvika","Studiespesialisering","24","18","6","30","25","5","54","35","19","64","42","22","92","57","35","102","62","40","124","77","47","130","81","49"
