"fylkesnr","skole","linje","2022-23 alle","2022-23 gutter","2022-23 jenter","2023-24 alle","2023-24 gutter","2023-24 jenter","2024-25 alle","2024-25 gutter","2024-25 jenter","2025-26 alle","2025-26 gutter","2025-26 jenter"
50,"Cissi Klein videregående skole","Alle utdanningsprogram","190","55","135","306","95","211","329","98","231","469","161","308"
50,"Cissi Klein videregående skole","Studieforberedende","190","55","135","306","95","211","329","98","231","364","96","268"
50,"Cissi Klein videregående skole","Musikk, dans og drama","103","20","83","110","19","91","118","16","102","140","17","123"
50,"Cissi Klein videregående skole","Påbygging til generell studiekompetanse","87","35","52","172","61","111","170","59","111","86","16","70"
50,"Cissi Klein videregående skole","Studiespesialisering",NA,NA,NA,"24","15","9","41","23","18","138","63","75"
50,"Cissi Klein videregående skole","Yrkesfaglig",NA,NA,NA,NA,NA,NA,NA,NA,NA,"105","65","40"
50,"Cissi Klein videregående skole","Helse- og oppvekstfag",NA,NA,NA,NA,NA,NA,NA,NA,NA,"32","4","28"
50,"Cissi Klein videregående skole","Teknologi- og industrifag",NA,NA,NA,NA,NA,NA,NA,NA,NA,"73","61","12"
