"fylkesnr","skole","linje","2012-13 alle","2012-13 gutter","2012-13 jenter","2013-14 alle","2013-14 gutter","2013-14 jenter"
11,"Rygjabø vidaregåande skole (Nedlagt)","Alle utdanningsprogram","51","42","9","43","38","5"
11,"Rygjabø vidaregåande skole (Nedlagt)","Yrkesfaglig","51","42","9","43","38","5"
11,"Rygjabø vidaregåande skole (Nedlagt)","Naturbruk","44","37","7","43","38","5"
11,"Rygjabø vidaregåande skole (Nedlagt)","Restaurant- og matfag","7","5","2",NA,NA,NA
