"fylkesnr","skole","linje","2012-13 alle","2012-13 gutter","2012-13 jenter","2013-14 alle","2013-14 gutter","2013-14 jenter","2014-15 alle","2014-15 gutter","2014-15 jenter","2015-16 alle","2015-16 gutter","2015-16 jenter","2016-17 alle","2016-17 gutter","2016-17 jenter","...17 alle","...18 gutter","2018-19 jenter","2018-19 alle","2018-19 gutter","2019-20 jenter","2019-20 alle","2019-20 gutter","2020-21 jenter","2020-21 alle","2020-21 gutter","2021-22 jenter","2021-22 alle","2021-22 gutter","2022-23 jenter","2022-23 alle","2022-23 gutter","2023-24 jenter","2023-24 alle","2023-24 gutter","2024-25 jenter","2024-25 alle","2024-25 gutter"
3,"Den Tysk-Norske skolen i Oslo Avd grunnskole Sporveisgata","Alle utdanningsprogram","20","13","7","18","7","11","35","18","17","37","24","13","1","1","39","18","21","37","13","24","39","14","25","60","24","36","58","26","32","65","32","33","57","28","29","61","32","29"
3,"Den Tysk-Norske skolen i Oslo Avd grunnskole Sporveisgata","Studieforberedende","20","13","7","18","7","11","35","18","17","37","24","13","1","1","39","18","21","37","13","24","39","14","25","60","24","36","58","26","32","65","32","33","57","28","29","61","32","29"
3,"Den Tysk-Norske skolen i Oslo Avd grunnskole Sporveisgata","Studiespesialisering","20","13","7","18","7","11","35","18","17","37","24","13","1","1","39","18","21","37","13","24","39","14","25","60","24","36","58","26","32","65","32","33","57","28","29","61","32","29"
