"fylkesnr","skole","linje","2017-18 alle","2017-18 gutter","2017-18 jenter","2018-19 alle","2018-19 gutter","2018-19 jenter","2019-20 alle","2019-20 gutter","2019-20 jenter","2020-21 alle","2020-21 gutter","2020-21 jenter","2021-22 alle","2021-22 gutter","2021-22 jenter","2022-23 alle","2022-23 gutter","2022-23 jenter","2023-24 alle","2023-24 gutter","2023-24 jenter","2024-25 alle","2024-25 gutter","2024-25 jenter","2025-26 alle","2025-26 gutter","2025-26 jenter"
3,"Haukåsen skole","Alle utdanningsprogram","13","4","9","17","7","10","16","6","10","18","8","10","16","7","9","21","11","10","19","9","10","20","12","8","19","11","8"
3,"Haukåsen skole","Studieforberedende","13","4","9","17","7","10","16","6","10","18","8","10","16","7","9","21","11","10","19","9","10","20","12","8","19","11","8"
3,"Haukåsen skole","Studiespesialisering","13","4","9","17","7","10","16","6","10","18","8","10","16","7","9","21","11","10","19","9","10","20","12","8","19","11","8"
