"fylkesnr","skole","linje","2021-22 alle","2021-22 gutter","2021-22 jenter","2022-23 alle","2022-23 gutter","2022-23 jenter","2023-24 alle","2023-24 gutter","2023-24 jenter","2024-25 alle","2024-25 gutter","2024-25 jenter","2025-26 alle","2025-26 gutter","2025-26 jenter"
3,"Vetland videregående skole","Alle utdanningsprogram","12","9","3","12","9","3","13","10","3","12","9","3","10","6","4"
3,"Vetland videregående skole","Studieforberedende","12","9","3","12","9","3","13","10","3","12","9","3","10","6","4"
3,"Vetland videregående skole","Studiespesialisering","12","9","3","12","9","3","13","10","3","12","9","3","10","6","4"
