"fylkesnr","skole","linje","2016-17 alle","2016-17 gutter","2016-17 jenter","2017-18 alle","2017-18 gutter","2017-18 jenter","2018-19 alle","2018-19 gutter","2018-19 jenter","2019-20 alle","2019-20 gutter","2019-20 jenter","2020-21 alle","2020-21 gutter","2020-21 jenter","2021-22 alle","2021-22 gutter","2021-22 jenter","2022-23 alle","2022-23 gutter","2022-23 jenter","2023-24 alle","2023-24 gutter","2023-24 jenter","2024-25 alle","2024-25 gutter","2024-25 jenter","2025-26 alle","2025-26 gutter","2025-26 jenter"
11,"Norheim Vgs","Alle utdanningsprogram","14","6","8","23","10","13","28","13","15","50","25","25","62","26","36","72","29","43","79","31","48","66","19","47","75","26","49","95","32","63"
11,"Norheim Vgs","Studieforberedende","14","6","8","23","10","13","28","13","15","33","19","14","29","16","13","34","20","14","38","19","19","38","10","28","34","9","25","35","9","26"
11,"Norheim Vgs","Påbygging til generell studiekompetanse",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"6","5","1","11","5","6","14","2","12","8","2","6","10","2","8"
11,"Norheim Vgs","Studiespesialisering","14","6","8","23","10","13","28","13","15","33","19","14","29","16","13","28","15","13","27","14","13","24","8","16","26","7","19","25","7","18"
11,"Norheim Vgs","Yrkesfaglig",NA,NA,NA,NA,NA,NA,NA,NA,NA,"17","6","11","33","10","23","38","9","29","41","12","29","28","9","19","41","17","24","60","23","37"
11,"Norheim Vgs","Bygg- og anleggsteknikk",NA,NA,NA,NA,NA,NA,NA,NA,NA,"6","6",NA,"9","6","3","8","5","3","6","6",NA,"8","7","1","12","12",NA,"18","16","2"
11,"Norheim Vgs","Helse- og oppvekstfag",NA,NA,NA,NA,NA,NA,NA,NA,NA,"11",NA,"11","24","4","20","30","4","26","35","6","29","20","2","18","29","5","24","42","7","35"
