"fylkesnr","skole","linje","2025-26 alle","2025-26 gutter","2025-26 jenter"
33,"Akademiet Vgs Kongsberg","Alle utdanningsprogram","20","6","14"
33,"Akademiet Vgs Kongsberg","Studieforberedende","20","6","14"
33,"Akademiet Vgs Kongsberg","Studiespesialisering","20","6","14"
