"fylkesnr","skole","linje","2012-13 alle","2012-13 gutter","2012-13 jenter","2013-14 alle","2013-14 gutter","2013-14 jenter","2014-15 alle","2014-15 gutter","2014-15 jenter","2015-16 alle","2015-16 gutter","2015-16 jenter","2016-17 alle","2016-17 gutter","2016-17 jenter","2017-18 alle","2017-18 gutter","2017-18 jenter","2018-19 alle","2018-19 gutter","2018-19 jenter","2019-20 alle","2019-20 gutter","2019-20 jenter"
15,"Herøy vidaregåande skule Avd Vanylven","Alle utdanningsprogram","33","14","19","53","27","26","61","31","30","28","14","14","58","32","26","47","22","25","27","10","17","29","19","10"
15,"Herøy vidaregåande skule Avd Vanylven","Studieforberedende","12","5","7","17","6","11","21","9","12","3","1","2","17","5","12","11","7","4","12","3","9","16","8","8"
15,"Herøy vidaregåande skule Avd Vanylven","Studiespesialisering","12","5","7","17","6","11","21","9","12","3","1","2","17","5","12","11","7","4","12","3","9","16","8","8"
15,"Herøy vidaregåande skule Avd Vanylven","Yrkesfaglig","21","9","12","36","21","15","40","22","18","25","13","12","41","27","14","36","15","21","15","7","8","13","11","2"
15,"Herøy vidaregåande skule Avd Vanylven","Helse- og oppvekstfag","11",NA,"11","17","3","14","16","1","15","12","2","10","14","2","12","24","4","20","8","2","6",NA,NA,NA
15,"Herøy vidaregåande skule Avd Vanylven","Teknologi- og industrifag","10","9","1","19","18","1","24","21","3","13","11","2","27","25","2","12","11","1","7","5","2","13","11","2"
