"fylkesnr","skole","linje","2023-24 alle","2023-24 gutter","2023-24 jenter","2024-25 alle","2024-25 gutter","2024-25 jenter","2025-26 alle","2025-26 gutter","2025-26 jenter"
55,"Longyearbyen skole Videregående Avdeling","Alle utdanningsprogram","28","14","14","29","10","19","38","16","22"
55,"Longyearbyen skole Videregående Avdeling","Studieforberedende","24","10","14","22","9","13","32","13","19"
55,"Longyearbyen skole Videregående Avdeling","Påbygging til generell studiekompetanse","1","1",NA,NA,NA,NA,NA,NA,NA
55,"Longyearbyen skole Videregående Avdeling","Studiespesialisering","23","9","14","22","9","13","32","13","19"
55,"Longyearbyen skole Videregående Avdeling","Yrkesfaglig","4","4",NA,"7","1","6","6","3","3"
55,"Longyearbyen skole Videregående Avdeling","Bygg- og anleggsteknikk","4","4",NA,NA,NA,NA,NA,NA,NA
55,"Longyearbyen skole Videregående Avdeling","Salg, service og reiseliv",NA,NA,NA,"7","1","6","6","3","3"
