"fylkesnr","skole","linje","2012-13 alle","2012-13 gutter","2012-13 jenter","2013-14 alle","2013-14 gutter","2013-14 jenter","2014-15 alle","2014-15 gutter","2014-15 jenter","2015-16 alle","2015-16 gutter","2015-16 jenter","2016-17 alle","2016-17 gutter","2016-17 jenter","2017-18 alle","2017-18 gutter","2017-18 jenter","2018-19 alle","2018-19 gutter","2018-19 jenter","2019-20 alle","2019-20 gutter","2019-20 jenter","2020-21 alle","2020-21 gutter","2020-21 jenter","2021-22 alle","2021-22 gutter","2021-22 jenter","2022-23 alle","2022-23 gutter","2022-23 jenter","2023-24 alle","2023-24 gutter","2023-24 jenter","2024-25 alle","2024-25 gutter","2024-25 jenter","2025-26 alle","2025-26 gutter","2025-26 jenter"
32,"Nadderud videregående skole","Alle utdanningsprogram","468","220","248","491","231","260","496","240","256","505","234","271","506","260","246","536","242","294","570","254","316","566","250","316","568","262","306","567","237","330","561","224","337","565","253","312","570","243","327","576","261","315"
32,"Nadderud videregående skole","Studieforberedende","468","220","248","491","231","260","496","240","256","505","234","271","506","260","246","536","242","294","570","254","316","566","250","316","568","262","306","567","237","330","561","224","337","565","253","312","570","243","327","576","261","315"
32,"Nadderud videregående skole","Idrettsfag","84","51","33","87","53","34","85","53","32","80","44","36","84","46","38","81","46","35","78","46","32","84","50","34","83","51","32","89","48","41","80","42","38","85","45","40","85","43","42","87","50","37"
32,"Nadderud videregående skole","Studiespesialisering","384","169","215","404","178","226","411","187","224","425","190","235","422","214","208","455","196","259","492","208","284","482","200","282","485","211","274","478","189","289","481","182","299","480","208","272","485","200","285","489","211","278"
