"fylkesnr","skole","linje","2012-13 alle","2012-13 gutter","2012-13 jenter","2013-14 alle","2013-14 gutter","2013-14 jenter","2014-15 alle","2014-15 gutter","2014-15 jenter","2015-16 alle","2015-16 gutter","2015-16 jenter","2016-17 alle","2016-17 gutter","2016-17 jenter","2017-18 alle","2017-18 gutter","2017-18 jenter"
46,"U Pihls skole (Nedlagt)","Alle utdanningsprogram","314","185","129","299","173","126","296","169","127","316","187","129","298","166","132","272","157","115"
46,"U Pihls skole (Nedlagt)","Studieforberedende","314","185","129","299","173","126","296","169","127","316","187","129","298","166","132","272","157","115"
46,"U Pihls skole (Nedlagt)","Idrettsfag","83","58","25","75","54","21","74","50","24","75","43","32","80","44","36","109","62","47"
46,"U Pihls skole (Nedlagt)","IDIDR2 - Idrettsfag vg2","28","23","5","21","16","5","23","13","10","24","15","9","27","13","14","28","15","13"
46,"U Pihls skole (Nedlagt)","IDIDR3 - Idrettsfag vg3","27","14","13","27","22","5","22","18","4","24","14","10","22","15","7","26","13","13"
46,"U Pihls skole (Nedlagt)","IDRET1 - Idrettsfag vg1","28","21","7","27","16","11","29","19","10","27","14","13","31","16","15","55","34","21"
46,"U Pihls skole (Nedlagt)","Studiespesialisering","231","127","104","224","119","105","222","119","103","241","144","97","218","122","96","163","95","68"
