"fylkesnr","skole","linje","2014-15 alle","2014-15 gutter","2014-15 jenter","...5 alle","...6 gutter","2016-17 jenter","2016-17 alle","2016-17 gutter","2017-18 jenter","2017-18 alle","2017-18 gutter","2018-19 jenter","2018-19 alle","2018-19 gutter","2019-20 jenter","2019-20 alle","2019-20 gutter","2020-21 jenter","2020-21 alle","2020-21 gutter","2021-22 jenter","2021-22 alle","2021-22 gutter","2022-23 jenter","2022-23 alle","2022-23 gutter","2023-24 jenter","2023-24 alle","2023-24 gutter","2024-25 jenter","2024-25 alle","2024-25 gutter","2025-26 jenter","2025-26 alle","2025-26 gutter"
15,"Akademiet Toppidrettsgymnas Ålesund","Alle utdanningsprogram","5","5","16","10","6","42","29","13","41","28","13","46","33","13","37","26","11","49","32","17","38","28","10","46","27","19","57","29","28","68","28","40","90","45","45"
15,"Akademiet Toppidrettsgymnas Ålesund","Studieforberedende","5","5","16","10","6","42","29","13","41","28","13","46","33","13","37","26","11","49","32","17","38","28","10","46","27","19","57","29","28","68","28","40","90","45","45"
15,"Akademiet Toppidrettsgymnas Ålesund","Studiespesialisering","5","5","16","10","6","42","29","13","41","28","13","46","33","13","37","26","11","49","32","17","38","28","10","46","27","19","57","29","28","68","28","40","90","45","45"
