"fylkesnr","skole","linje","2012-13 alle","2012-13 gutter","2012-13 jenter","2013-14 alle","2013-14 gutter","2013-14 jenter","2014-15 alle","2014-15 gutter","2014-15 jenter","2015-16 alle","2015-16 gutter","2015-16 jenter"
33,"Hurum Videregående Steinerskole (Nedlagt)","Alle utdanningsprogram","124","63","61","101","61","40","93","46","47","83","40","43"
33,"Hurum Videregående Steinerskole (Nedlagt)","Studieforberedende","92","47","45","79","48","31","71","36","35","67","36","31"
33,"Hurum Videregående Steinerskole (Nedlagt)","Musikk, dans og drama","48","26","22","45","28","17","32","19","13","30","18","12"
33,"Hurum Videregående Steinerskole (Nedlagt)","Studieforberedende Vg3 Medier og kommunikasjon","8","6","2","10","5","5","7","5","2","8","6","2"
33,"Hurum Videregående Steinerskole (Nedlagt)","Studiespesialisering","36","15","21","24","15","9","32","12","20","29","12","17"
33,"Hurum Videregående Steinerskole (Nedlagt)","Yrkesfaglig","32","16","16","22","13","9","22","10","12","16","4","12"
33,"Hurum Videregående Steinerskole (Nedlagt)","Medier og kommunikasjon (gammel ordning)","32","16","16","22","13","9","22","10","12","16","4","12"
