"fylkesnr","skole","linje","2012-13 alle","2012-13 gutter","2012-13 jenter","...5 alle","2015-16 gutter","2015-16 jenter","2015-16 alle","...9 gutter","...10 jenter","2017-18 alle","2017-18 gutter","2017-18 jenter","...14 alle","...15 gutter","2020-21 jenter","2020-21 alle","2020-21 gutter"
34,"Norges Grønne Fagskole - Vea","Alle utdanningsprogram","9","9","2","2","10","10","7","1","6","5","5","13","4","9","52","10","42"
34,"Norges Grønne Fagskole - Vea","Yrkesfaglig","9","9","2","2","10","10","7","1","6","5","5","13","4","9","52","10","42"
34,"Norges Grønne Fagskole - Vea","Design og håndverk","9","9","2","2","10","10","7","1","6","5","5","13","4","9",NA,NA,NA
34,"Norges Grønne Fagskole - Vea","Naturbruk",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"52","10","42"
