"fylkesnr","skole","linje","2012-13 alle","2012-13 gutter","2012-13 jenter","2013-14 alle","2013-14 gutter","2013-14 jenter","2014-15 alle","2014-15 gutter","2014-15 jenter","2015-16 alle","2015-16 gutter","2015-16 jenter"
11,"Noroff Mediegymnas - Stavanger (Nedlagt)","Alle utdanningsprogram","74","43","31","73","49","24","39","31","8","36","22","14"
11,"Noroff Mediegymnas - Stavanger (Nedlagt)","Studieforberedende","18","7","11","26","15","11","8","5","3","14","12","2"
11,"Noroff Mediegymnas - Stavanger (Nedlagt)","Studieforberedende Vg3 Medier og kommunikasjon","18","7","11","26","15","11","8","5","3","14","12","2"
11,"Noroff Mediegymnas - Stavanger (Nedlagt)","Yrkesfaglig","56","36","20","47","34","13","31","26","5","22","10","12"
11,"Noroff Mediegymnas - Stavanger (Nedlagt)","Medier og kommunikasjon (gammel ordning)","56","36","20","47","34","13","31","26","5","22","10","12"
