"fylkesnr","skole","linje","2012-13 alle","2012-13 gutter","2012-13 jenter","2013-14 alle","2013-14 gutter","2013-14 jenter","2014-15 alle","2014-15 gutter","2014-15 jenter","2015-16 alle","2015-16 gutter","2015-16 jenter","2016-17 alle","2016-17 gutter","2016-17 jenter","2017-18 alle","2017-18 gutter","2017-18 jenter","2018-19 alle","2018-19 gutter","2018-19 jenter","2019-20 alle","2019-20 gutter","2019-20 jenter","2020-21 alle","2020-21 gutter","2020-21 jenter","2021-22 alle","2021-22 gutter","2021-22 jenter","2022-23 alle","2022-23 gutter","2022-23 jenter"
50,"Johan Bojer videregående skole Skolested Leksvik","Alle utdanningsprogram","107","44","63","111","51","60","99","54","45","87","53","34","109","59","50","97","53","44","109","50","59","106","55","51","101","45","56","96","45","51","82","44","38"
50,"Johan Bojer videregående skole Skolested Leksvik","Studieforberedende","55","14","41","57","19","38","60","24","36","47","21","26","59","24","35","53","25","28","55","20","35","57","29","28","61","28","33","61","26","35","48","21","27"
50,"Johan Bojer videregående skole Skolested Leksvik","Påbygging til generell studiekompetanse","12","3","9","11","6","5","13","6","7","7","3","4","6",NA,"6","8","6","2","8","3","5","16","9","7","16","5","11","20","4","16","19","5","14"
50,"Johan Bojer videregående skole Skolested Leksvik","Studiespesialisering","43","11","32","46","13","33","47","18","29","40","18","22","53","24","29","45","19","26","47","17","30","41","20","21","45","23","22","41","22","19","29","16","13"
50,"Johan Bojer videregående skole Skolested Leksvik","Yrkesfaglig","52","30","22","54","32","22","39","30","9","40","32","8","50","35","15","44","28","16","54","30","24","49","26","23","40","17","23","35","19","16","34","23","11"
50,"Johan Bojer videregående skole Skolested Leksvik","Bygg- og anleggsteknikk","11","11",NA,"20","20",NA,"11","10","1","14","13","1","13","13",NA,"11","9","2","18","16","2","16","16",NA,"8","8",NA,"9","9",NA,"9","9",NA
50,"Johan Bojer videregående skole Skolested Leksvik","Helse- og oppvekstfag","23","2","21","24","2","22","13","6","7","9","3","6","20","7","13","21","7","14","20","2","18","19","2","17","25","4","21","16","3","13","8",NA,"8"
50,"Johan Bojer videregående skole Skolested Leksvik","Teknologi- og industrifag","18","17","1","10","10",NA,"15","14","1","17","16","1","17","15","2","12","12",NA,"16","12","4","14","8","6","7","5","2","10","7","3","17","14","3"
