"fylkesnr","skole","linje","2013-14 alle","2013-14 gutter","2013-14 jenter","2014-15 alle","2014-15 gutter","2014-15 jenter"
99,"Den norske skolen i Malaga Costa del Sol","Alle utdanningsprogram","9","3","6","10","5","5"
99,"Den norske skolen i Malaga Costa del Sol","Studieforberedende","9","3","6","10","5","5"
99,"Den norske skolen i Malaga Costa del Sol","Studiespesialisering","9","3","6","10","5","5"
