"fylkesnr","skole","linje","2012-13 alle","2012-13 gutter","2012-13 jenter","2013-14 alle","2013-14 gutter","2013-14 jenter","2014-15 alle","2014-15 gutter","2014-15 jenter"
3,"Manglerud videregående skole (Nedlagt)","Alle utdanningsprogram","597","310","287","471","238","233","381","175","206"
3,"Manglerud videregående skole (Nedlagt)","Studieforberedende","592","307","285","468","236","232","374","173","201"
3,"Manglerud videregående skole (Nedlagt)","Musikk, dans og drama","158","101","57","168","96","72","164","89","75"
3,"Manglerud videregående skole (Nedlagt)","Påbygging til generell studiekompetanse","120","62","58","83","47","36","61","32","29"
3,"Manglerud videregående skole (Nedlagt)","Studiespesialisering","209","118","91","123","68","55","71","34","37"
3,"Manglerud videregående skole (Nedlagt)","Studiespesialisering med formgivning","105","26","79","94","25","69","78","18","60"
3,"Manglerud videregående skole (Nedlagt)","Yrkesfaglig","5","3","2","3","2","1","7","2","5"
3,"Manglerud videregående skole (Nedlagt)","Design og håndverk","5","3","2","3","2","1","7","2","5"
